player,Pos,newPos,birthDate,From,To
Tristan Thompson,C,Big,3/13/1991,2012,2018
Tyler Zeller,C,Big,1/17/1990,2013,2018
Willie Cauley-Stein,C,Big,8/18/1993,2016,2018
Zach Collins,C,Big,11/19/1997,2018,2018
Aaron Gordon,F,Big,9/16/1995,2015,2018
Abdel Nader,F,Wing,9/25/1993,2018,2018
Adonis Thomas,F,Wing,3/25/1993,2014,2014
Alec Peters,F,Big,4/13/1995,2018,2018
Alex Poythress,F,Big,9/6/1993,2017,2018
Allen Crabbe,F,Wing,4/9/1992,2014,2018
Andrew Nicholson,F,Big,12/8/1989,2013,2017
Andrew Wiggins,F,Wing,2/23/1995,2015,2018
Anthony Bennett,F,Big,3/14/1993,2014,2017
Anthony Brown,F,Wing,10/10/1992,2016,2018
Arnett Moultrie,F,Big,11/18/1990,2013,2014
Ben Bentil,F,Big,3/29/1995,2017,2017
Ben Moore,F,Big,5/13/1995,2018,2018
Ben Simmons,F,Guard,7/20/1996,2018,2018
Bobby Portis,F,Big,2/10/1995,2016,2018
Branden Dawson,F,Big,2/1/1993,2016,2016
Brandon Davies,F,Big,7/25/1991,2014,2015
Brandon Ingram,F,Wing,9/2/1997,2017,2018
Brice Johnson,F,Big,6/27/1994,2017,2018
Caleb Swanigan,F,Big,4/18/1997,2018,2018
Caris LeVert,F,Wing,8/25/1994,2017,2018
Chandler Parsons,F,Wing,10/25/1988,2012,2018
Cheick Diallo,F,Big,9/13/1996,2017,2018
Chris Boucher,F,Big,1/11/1993,2018,2018
Chris Johnson,F,Big,4/29/1990,2013,2016
Chris McCullough,F,Big,2/5/1995,2016,2018
Chris Singleton,F,Big,11/21/1989,2012,2014
Chris Wright,F,Wing,9/30/1988,2012,2014
Christian Wood,F,Big,9/27/1995,2016,2017
Cleanthony Early,F,Wing,4/17/1991,2015,2016
Cliff Alexander,F,Big,11/16/1995,2016,2016
Cory Jefferson,F,Big,12/26/1990,2015,2016
Coty Clarke,F,Wing,7/4/1992,2016,2016
D.J. Stephens,F,Wing,12/19/1990,2014,2014
D.J. Wilson,F,Big,2/19/1996,2018,2018
Darius Miller,F,Wing,3/21/1990,2013,2018
David Wear,F,Big,9/21/1990,2015,2015
DeQuan Jones,F,Wing,6/20/1990,2013,2013
Derrick Jones,F,Wing,2/15/1997,2017,2018
Derrick Williams,F,Big,5/25/1991,2012,2018
Devin Robinson,F,Wing,3/7/1995,2018,2018
Devyn Marble,F,Wing,9/21/1992,2015,2016
Dillon Brooks,F,Wing,1/22/1996,2018,2018
Dorian Finney-Smith,F,Big,5/4/1993,2017,2018
Doug McDermott,F,Wing,1/3/1992,2015,2018
Draymond Green,F,Big,3/4/1990,2013,2018
Drew Gordon,F,Big,7/12/1990,2015,2015
Duje Dukan,F,Wing,12/4/1991,2016,2016
Elias Harris,F,Wing,7/6/1989,2014,2014
Erik McCree,F,Wing,12/20/1993,2018,2018
Erik Murphy,F,Big,10/26/1990,2014,2014
Georges Niang,F,Big,6/17/1993,2017,2018
Glenn Robinson,F,Wing,1/8/1994,2015,2018
Grant Jerrett,F,Big,7/8/1993,2015,2015
Harrison Barnes,F,Wing,5/30/1992,2013,2018
Henry Ellenson,F,Big,1/13/1997,2017,2018
Hollis Thompson,F,Wing,4/3/1991,2014,2017
Isaiah Hicks,F,Big,7/24/1994,2018,2018
Ivan Rabb,F,Big,2/4/1997,2018,2018
J.J. O'Brien,F,Wing,4/8/1992,2016,2016
Jabari Parker,F,Big,3/15/1995,2015,2018
Jacob Wiley,F,Big,9/4/1994,2018,2018
Jae Crowder,F,Wing,7/6/1990,2013,2018
JaJuan Johnson,F,Big,2/8/1989,2012,2012
JaKarr Sampson,F,Wing,3/20/1993,2015,2018
Jake Layman,F,Wing,3/7/1994,2017,2018
Jameel Warney,F,Big,1/31/1994,2018,2018
Jamel Artis,F,Wing,1/12/1993,2018,2018
James Ennis,F,Wing,7/1/1990,2015,2018
James Michael McAdoo,F,Big,1/4/1993,2015,2018
James Nunnally,F,Wing,7/14/1990,2014,2014
James Southerland,F,Wing,4/28/1990,2014,2014
James Young,F,Wing,8/16/1995,2015,2018
JaMychal Green,F,Big,6/21/1990,2015,2018
Jared Sullinger,F,Big,3/4/1992,2013,2017
Jarell Eddie,F,Wing,10/30/1991,2016,2018
Jarell Martin,F,Big,5/24/1994,2016,2018
Jarrod Uthoff,F,Big,5/19/1993,2017,2017
Jaylen Brown,F,Wing,10/24/1996,2017,2018
Jayson Tatum,F,Wing,3/3/1998,2018,2018
Jeffery Taylor,F,Wing,5/23/1989,2013,2015
Jerami Grant,F,Big,3/12/1994,2015,2018
Jeremy Lamb,F,Wing,5/30/1992,2013,2018
Jerrelle Benimon,F,Big,8/1/1991,2015,2015
Jimmy Butler,F,Wing,9/14/1989,2012,2018
Joel Bolomboy,F,Big,1/28/1994,2017,2018
John Collins,F,Big,9/23/1997,2018,2018
Johnathan Motley,F,Big,5/4/1995,2018,2018
Jon Leuer,F,Big,5/14/1989,2012,2018
Jonathan Isaac,F,Big,10/3/1997,2018,2018
Jonathon Simmons,F,Wing,9/14/1989,2016,2018
Jordan Bell,F,Big,1/7/1995,2018,2018
Jordan Hamilton,F,Big,10/6/1990,2012,2016
Jordan Mickey,F,Big,7/9/1994,2016,2018
Josh Huestis,F,Big,12/19/1991,2016,2018
Josh Jackson,F,Wing,2/10/1997,2018,2018
Justin Harper,F,Big,8/30/1989,2012,2017
Justin Jackson,F,Wing,3/28/1995,2018,2018
Justise Winslow,F,Wing,3/26/1996,2016,2018
K.J. McDaniels,F,Wing,2/9/1993,2015,2017
Kawhi Leonard,F,Wing,6/29/1991,2012,2018
Kelly Oubre,F,Wing,12/9/1995,2016,2018
Kenneth Faried,F,Big,11/19/1989,2012,2018
Kent Bazemore,F,Wing,7/1/1989,2013,2018
Kevin Jones,F,Big,8/25/1989,2013,2013
Khris Middleton,F,Wing,8/12/1991,2013,2018
Klay Thompson,F,Wing,2/8/1990,2012,2018
Kris Joseph,F,Wing,12/17/1988,2013,2013
Kyle Anderson,F,Wing,9/20/1993,2015,2018
Kyle Collinsworth,F,Wing,10/3/1991,2018,2018
Kyle Kuzma,F,Wing,7/24/1995,2018,2018
Kyle Singler,F,Wing,5/4/1988,2013,2018
Kyle Wiltjer,F,Big,10/20/1992,2017,2017
Lamar Patterson,F,Wing,8/12/1991,2016,2017
Malcolm Thomas,F,Big,11/8/1988,2012,2015
Marcus Morris,F,Big,9/2/1989,2012,2018
Markieff Morris,F,Big,9/2/1989,2012,2018
Marquese Chriss,F,Big,7/2/1997,2017,2018
MarShon Brooks,F,Wing,1/26/1989,2012,2018
Matt Costello,F,Big,8/5/1993,2018,2018
Maurice Harkless,F,Big,5/11/1993,2013,2018
Maurice Ndour,F,Big,6/18/1992,2017,2017
Michael Kidd-Gilchrist,F,Wing,9/26/1993,2013,2018
Mike Scott,F,Big,7/16/1988,2013,2018
Myke Henry,F,Wing,12/23/1992,2018,2018
Nigel Hayes,F,Wing,12/16/1994,2018,2018
Noah Vonleh,F,Big,8/24/1995,2015,2018
OG Anunoby,F,Wing,7/17/1997,2018,2018
Okaro White,F,Big,8/13/1992,2017,2018
Omari Johnson,F,Big,11/26/1989,2018,2018
Otto Porter,F,Wing,6/3/1993,2014,2018
P.J. Hairston,F,Wing,12/24/1992,2015,2016
Pascal Siakam,F,Big,2/4/1994,2017,2018
Patricio Garino,F,Wing,5/17/1993,2017,2017
Perry Jones,F,Wing,9/24/1991,2013,2015
Quincy Acy,F,Wing,10/6/1990,2013,2018
Rakeem Christmas,F,Big,12/1/1991,2016,2017
Reggie Bullock,F,Wing,3/16/1991,2014,2018
Robbie Hummel,F,Big,3/8/1989,2014,2015
Robert Covington,F,Wing,12/14/1990,2014,2018
Rodney Hood,F,Wing,10/20/1992,2015,2018
Rondae Hollis-Jefferson,F,Wing,1/3/1995,2016,2018
Royce O'Neale,F,Wing,6/5/1993,2018,2018
Royce White,F,Big,4/10/1991,2014,2014
Ryan Kelly,F,Big,4/9/1991,2014,2017
Sam Dekker,F,Wing,5/6/1994,2016,2018
Semi Ojeleye,F,Big,12/5/1994,2018,2018
Shabazz Muhammad,F,Wing,11/13/1992,2014,2018
Skal Labissiere,F,Big,3/18/1996,2017,2018
Solomon Hill,F,Wing,3/18/1991,2014,2018
Stanley Johnson,F,Wing,5/29/1996,2016,2018
T.J. Leaf,F,Big,4/30/1997,2018,2018
T.J. Warren,F,Wing,9/5/1993,2015,2018
Taurean Waller-Prince,F,Wing,3/22/1994,2017,2018
Terrence Jones,F,Wing,1/9/1992,2013,2017
Terrence Ross,F,Wing,2/5/1991,2013,2018
Thomas Robinson,F,Big,3/17/1991,2013,2017
Tobias Harris,F,Big,7/15/1992,2012,2018
Tony Snell,F,Wing,11/10/1991,2014,2018
Toure' Murry,F,Wing,11/8/1989,2014,2015
Travis Wear,F,Wing,9/21/1990,2015,2018
Trey Lyles,F,Big,11/5/1995,2016,2018
Trey Thompkins,F,Big,5/20/1990,2012,2012
Troy Williams,F,Wing,12/30/1994,2017,2018
Tyler Cavanaugh,F,Big,2/9/1994,2018,2018
Tyler Honeycutt,F,Wing,7/15/1990,2012,2013
Tyler Lydon,F,Big,4/9/1996,2018,2018
Vince Hunter,F,Big,8/5/1994,2018,2018
Wayne Selden,F,Wing,9/30/1994,2017,2018
Wesley Iwundu,F,Wing,12/20/1994,2018,2018
Aaron Harrison,G,Guard,10/28/1994,2016,2018
Aaron Jackson,G,Guard,5/6/1986,2018,2018
Alec Burks,G,Guard,7/20/1991,2012,2018
Alex Caruso,G,Guard,2/28/1994,2018,2018
Andre Dawkins,G,Guard,9/19/1991,2015,2015
Andre Ingram,G,Guard,11/19/1985,2018,2018
Andrew Goudelock,G,Guard,12/7/1988,2012,2016
Andrew Harrison,G,Guard,10/28/1994,2017,2018
Andrew White,G,Guard,6/16/1993,2018,2018
Antonio Blakeney,G,Guard,10/4/1996,2018,2018
Antonius Cleveland,G,Guard,2/2/1994,2018,2018
Archie Goodwin,G,Guard,8/17/1994,2014,2017
Austin Rivers,G,Guard,8/1/1992,2013,2018
Ben Hansbrough,G,Guard,12/23/1987,2013,2013
Ben McLemore,G,Guard,2/11/1993,2014,2018
Bradley Beal,G,Guard,6/28/1993,2013,2018
Brandon Knight,G,Guard,12/2/1991,2012,2017
Brandon Paul,G,Guard,4/30/1991,2018,2018
Briante Weber,G,Guard,12/29/1992,2016,2018
Bryce Cotton,G,Guard,8/11/1992,2015,2016
Bryce Dejean-Jones,G,Guard,8/21/1992,2016,2016
Bryn Forbes,G,Guard,7/23/1993,2017,2018
Buddy Hield,G,Guard,12/17/1993,2017,2018
C.J. McCollum,G,Guard,9/19/1991,2014,2018
C.J. Wilcox,G,Guard,12/30/1990,2015,2017
Cameron Payne,G,Guard,8/8/1994,2016,2018
Carrick Felix,G,Guard,8/17/1990,2014,2014
Casper Ware,G,Guard,1/17/1990,2014,2014
Charles Cooke,G,Guard,7/1/1994,2018,2018
Charles Jenkins,G,Guard,2/28/1989,2012,2013
Chasson Randle,G,Guard,2/5/1993,2017,2017
Chris Babb,G,Guard,2/14/1990,2014,2014
Chris Smith,G,Guard,10/13/1987,2014,2014
Chris Wright,G,Guard,11/4/1989,2013,2013
Cory Higgins,G,Guard,6/14/1989,2012,2013
Cory Joseph,G,Guard,8/20/1991,2012,2018
Damion Lee,G,Guard,10/21/1992,2018,2018
Damyean Dotson,G,Guard,5/6/1994,2018,2018
D'Angelo Russell,G,Guard,2/23/1996,2016,2018
Danuel House,G,Guard,6/7/1993,2017,2018
Darius Johnson-Odom,G,Guard,9/28/1989,2013,2014
Darius Morris,G,Guard,1/3/1991,2012,2015
Darrun Hilliard,G,Guard,4/13/1993,2016,2018
David Nwaba,G,Guard,1/14/1993,2017,2018
David Stockton,G,Guard,6/24/1991,2015,2018
Davon Reed,G,Guard,6/11/1995,2018,2018
De'Aaron Fox,G,Guard,12/20/1997,2018,2018
DeAndre Liggins,G,Guard,3/31/1988,2012,2018
Dejounte Murray,G,Guard,9/19/1996,2017,2018
Delon Wright,G,Guard,4/26/1992,2016,2018
Demetrius Jackson,G,Guard,9/7/1994,2017,2018
Dennis Smith,G,Guard,11/25/1997,2018,2018
Denzel Valentine,G,Guard,11/16/1993,2017,2018
Derrick Walton,G,Guard,4/3/1995,2018,2018
Derrick White,G,Guard,7/2/1994,2018,2018
Devin Booker,G,Guard,10/30/1996,2016,2018
Diante Garrett,G,Guard,11/3/1988,2013,2014
Dion Waiters,G,Guard,12/10/1991,2013,2018
Donovan Mitchell,G,Guard,9/7/1996,2018,2018
Doron Lamb,G,Guard,11/6/1991,2013,2014
Dwayne Bacon,G,Guard,8/30/1995,2018,2018
Dwight Buycks,G,Guard,3/6/1989,2014,2018
Edmond Sumner,G,Guard,12/31/1995,2018,2018
Elfrid Payton,G,Guard,2/22/1994,2015,2018
Erick Green,G,Guard,5/9/1991,2015,2016
E'Twaun Moore,G,Guard,2/28/1989,2012,2018
Frank Mason,G,Guard,4/3/1994,2018,2018
Fred VanVleet,G,Guard,2/25/1994,2017,2018
Gary Harris,G,Guard,9/14/1994,2015,2018
Gary Payton,G,Guard,12/1/1992,2017,2018
Gian Clavell,G,Guard,11/26/1993,2018,2018
Glen Rice,G,Guard,1/1/1991,2014,2015
Ian Clark,G,Guard,3/7/1991,2014,2018
Iman Shumpert,G,Guard,6/26/1990,2012,2018
Isaiah Canaan,G,Guard,5/21/1991,2014,2018
Isaiah Taylor,G,Guard,7/11/1994,2017,2018
Isaiah Thomas,G,Guard,2/7/1989,2012,2018
Isaiah Whitehead,G,Guard,3/8/1995,2017,2018
Jabari Bird,G,Guard,7/3/1994,2018,2018
Jabari Brown,G,Guard,12/18/1992,2015,2015
Jalen Jones,G,Guard,5/27/1993,2018,2018
Jamaal Franklin,G,Guard,7/21/1991,2014,2015
Jamal Murray,G,Guard,2/23/1997,2017,2018
Jared Cunningham,G,Guard,5/22/1991,2013,2016
Jawun Evans,G,Guard,7/26/1996,2018,2018
Jerian Grant,G,Guard,10/9/1992,2016,2018
Jimmer Fredette,G,Guard,2/25/1989,2012,2016
Joe Harris,G,Guard,9/6/1991,2015,2018
Joe Young,G,Guard,6/27/1992,2016,2018
John Jenkins,G,Guard,3/6/1991,2013,2017
Jordan Adams,G,Guard,7/8/1994,2015,2016
Jordan Clarkson,G,Guard,6/7/1992,2015,2018
Jordan McRae,G,Guard,3/28/1991,2016,2017
Jorge Gutierrez,G,Guard,12/27/1988,2014,2016
Josh Hart,G,Guard,3/6/1995,2018,2018
Josh Richardson,G,Guard,9/15/1993,2016,2018
Josh Selby,G,Guard,3/27/1991,2012,2013
Julyan Stone,G,Guard,12/7/1988,2012,2018
Justin Anderson,G,Guard,11/19/1993,2016,2018
Justin Holiday,G,Guard,4/5/1989,2013,2018
Kadeem Allen,G,Guard,1/15/1993,2018,2018
Kalin Lucas,G,Guard,5/24/1989,2015,2015
Kay Felder,G,Guard,3/29/1995,2017,2018
Keith Appling,G,Guard,2/13/1992,2016,2016
Kemba Walker,G,Guard,5/8/1990,2012,2018
Kendall Marshall,G,Guard,8/19/1991,2013,2016
Kentavious Caldwell-Pope,G,Guard,2/18/1993,2014,2018
Kevin Murphy,G,Guard,3/6/1990,2013,2013
Kim English,G,Guard,9/24/1988,2013,2013
Kobi Simmons,G,Guard,7/4/1997,2018,2018
Kris Dunn,G,Guard,3/18/1994,2017,2018
Kyrie Irving,G,Guard,3/23/1992,2012,2018
Langston Galloway,G,Guard,12/9/1991,2015,2018
Larry Drew,G,Guard,3/5/1990,2015,2018
London Perrantes,G,Guard,10/3/1994,2018,2018
Lonzo Ball,G,Guard,10/27/1997,2018,2018
Lorenzo Brown,G,Guard,8/26/1990,2014,2018
Luke Kennard,G,Guard,6/24/1996,2018,2018
Maalik Wayns,G,Guard,5/2/1991,2013,2014
Malachi Richardson,G,Guard,1/5/1996,2017,2018
Malcolm Brogdon,G,Guard,12/11/1992,2017,2018
Malcolm Delaney,G,Guard,3/11/1989,2017,2018
Malcolm Lee,G,Guard,5/22/1990,2012,2015
Malik Beasley,G,Guard,11/26/1996,2017,2018
Malik Monk,G,Guard,2/4/1998,2018,2018
Marcus Georges-Hunt,G,Guard,3/28/1994,2017,2018
Marcus Paige,G,Guard,9/11/1993,2018,2018
Marcus Smart,G,Guard,3/6/1994,2015,2018
Markel Brown,G,Guard,1/29/1992,2015,2018
Markelle Fultz,G,Guard,5/29/1998,2018,2018
Marquis Teague,G,Guard,2/28/1993,2013,2018
Matt Williams,G,Guard,10/14/1993,2018,2018
Matthew Dellavedova,G,Guard,9/8/1990,2014,2018
Michael Carter-Williams,G,Guard,10/10/1991,2014,2018
Michael Gbinije,G,Guard,6/5/1992,2017,2017
Milton Doyle,G,Guard,10/31/1993,2018,2018
Monte Morris,G,Guard,6/27/1995,2018,2018
Mychel Thompson,G,Guard,6/1/1988,2012,2012
Nate Wolters,G,Guard,5/15/1991,2014,2018
Naz Mitrou-Long,G,Guard,8/3/1993,2018,2018
Nick Johnson,G,Guard,12/22/1992,2015,2015
Nik Stauskas,G,Guard,10/7/1993,2015,2018
Nolan Smith,G,Guard,7/25/1988,2012,2013
Norman Powell,G,Guard,5/25/1993,2016,2018
Norris Cole,G,Guard,10/13/1988,2012,2017
Orlando Johnson,G,Guard,3/11/1989,2013,2016
Pat Connaughton,G,Guard,1/6/1993,2016,2018
Patrick McCaw,G,Guard,10/25/1995,2017,2018
Peyton Siva,G,Guard,10/24/1990,2014,2014
Phil Pressey,G,Guard,2/17/1991,2014,2016
Pierre Jackson,G,Guard,8/29/1991,2017,2017
PJ Dozier,G,Guard,10/25/1996,2018,2018
Quinn Cook,G,Guard,3/23/1993,2017,2018
R.J. Hunter,G,Guard,10/24/1993,2016,2018
Rashad Vaughn,G,Guard,8/16/1996,2016,2018
Ray McCallum,G,Guard,6/12/1991,2014,2016
Reggie Jackson,G,Guard,4/16/1990,2012,2018
Rodney McGruder,G,Guard,7/29/1991,2017,2018
Rodney Purvis,G,Guard,2/14/1994,2018,2018
Ron Baker,G,Guard,3/30/1993,2017,2018
Russ Smith,G,Guard,4/19/1991,2015,2016
Scott Machado,G,Guard,6/8/1990,2013,2013
Scotty Hopson,G,Guard,8/8/1989,2014,2018
Sean Kilpatrick,G,Guard,1/6/1990,2015,2018
Semaj Christon,G,Guard,11/1/1992,2017,2017
Seth Curry,G,Guard,8/23/1990,2014,2017
Shabazz Napier,G,Guard,7/14/1991,2015,2018
Shane Larkin,G,Guard,10/2/1992,2014,2018
Shaquille Harrison,G,Guard,10/6/1993,2018,2018
Shelvin Mack,G,Guard,4/22/1990,2012,2018
Spencer Dinwiddie,G,Guard,4/6/1993,2015,2018
Sterling Brown,G,Guard,2/10/1995,2018,2018
T.J. McConnell,G,Guard,3/25/1992,2016,2018
Terry Rozier,G,Guard,3/17/1994,2016,2018
Tim Frazier,G,Guard,11/1/1990,2015,2018
Tim Hardaway,G,Guard,3/16/1992,2014,2018
Tim Quarterman,G,Guard,10/27/1994,2017,2018
Tony Wroten,G,Guard,4/13/1993,2013,2016
Travis Leslie,G,Guard,3/29/1990,2012,2012
Treveon Graham,G,Guard,10/29/1993,2017,2018
Trey Burke,G,Guard,11/12/1992,2014,2018
Troy Daniels,G,Guard,7/15/1991,2014,2018
Tyler Dorsey,G,Guard,2/14/1996,2018,2018
Tyler Ennis,G,Guard,8/24/1994,2015,2018
Tyler Johnson,G,Guard,5/7/1992,2015,2018
Tyler Ulis,G,Guard,1/5/1996,2017,2018
Tyrone Wallace,G,Guard,6/10/1994,2018,2018
Tyshawn Taylor,G,Guard,4/12/1990,2013,2014
Tyus Jones,G,Guard,5/10/1996,2016,2018
Vander Blue,G,Guard,7/17/1992,2014,2018
Victor Oladipo,G,Guard,5/4/1992,2014,2018
Wade Baldwin,G,Guard,3/29/1996,2017,2018
Will Barton,G,Guard,1/6/1991,2013,2018
Will Cherry,G,Guard,2/8/1991,2015,2015
Xavier Munford,G,Guard,6/1/1992,2016,2018
Xavier Rathan-Mayes,G,Guard,4/29/1994,2018,2018
Xavier Silas,G,Guard,1/22/1988,2012,2018
Yogi Ferrell,G,Guard,5/9/1993,2017,2018
Zach LaVine,G,Guard,3/10/1995,2015,2018
